X1	X2	
4.46	8.01	
4.38	4.22	
4.47	8.97	
7.00	8.23	
7.95	7.45	
0.65	2.46	
3.56	4.15	
9.32	8.01	
9.86	3.13	
2.59	0.01	
4.72	7.40	
2.58	3.57	
8.01	2.57	
1.74	4.82	
1.24	9.17	
7.16	9.94	
2.32	2.76	
4.25	2.32	
6.42	9.00	
3.01	0.01	
3.96	0.19	
2.92	3.98	
5.02	8.45	
8.36	0.08	
5.41	0.63	
5.07	6.58	
3.31	9.53	
9.61	2.38	
7.19	6.06	
7.77	0.32	
4.71	7.72	
5.43	4.00	
9.94	8.95	
4.56	6.53	
0.93	0.58	
0.33	4.11	
2.61	6.25	
0.33	8.02	
0.68	5.93	
5.54	3.86	
0.41	8.27	
3.38	7.83	
0.83	5.82	
7.66	6.04	
8.46	9.97	
6.27	4.48	
7.11	5.05	
7.77	3.63	
9.48	4.55	
9.61	4.47	
4.17	5.62	
6.55	9.43	
6.78	2.16	
5.36	5.07	
7.18	0.80	
2.99	1.00	
5.67	8.46	
8.71	3.15	
9.73	5.19	
7.40	7.94	
9.58	0.80	
0.24	8.23	
5.17	9.46	
1.18	0.83	
9.20	1.92	
2.31	0.35	
1.30	1.21	
9.06	3.82	
5.63	3.85	
6.48	5.95	
0.42	5.55	
1.37	5.25	
1.05	6.84	
0.82	7.43	
9.59	1.91	
6.90	3.19	
2.92	1.09	
8.94	4.57	
8.31	5.59	
9.09	5.35	
0.08	1.12	
4.73	8.42	
3.39	5.66	
0.91	5.32	
1.83	5.50	
9.38	0.93	
3.07	2.72	
6.35	9.42	
3.42	6.82	
9.84	5.79	
5.33	2.99	
8.79	1.17	
3.91	9.53	
0.38	8.91	
7.51	7.42	
9.16	2.86	
4.96	5.67	
1.16	8.96	
6.90	7.15	
9.17	5.90	
1.37	0.99	
0.60	1.27	
4.71	9.11	
7.61	4.68	
7.04	6.64	
0.62	0.75	
7.95	8.06	
9.81	0.54	
2.16	3.69	
6.22	1.88	
6.59	3.77	
3.47	5.55	
0.24	0.89	
3.65	6.65	
5.63	4.82	
5.82	7.76	
5.82	7.83	
3.76	3.30	
4.39	2.53	
0.33	2.52	
6.45	8.87	
9.46	1.92	
7.67	1.65	
3.00	6.72	
4.89	5.11	
9.18	4.68	
6.09	6.24	
1.30	5.29	
9.97	4.65	
0.12	1.60	
5.18	2.34	
1.10	2.05	
7.09	3.54	
8.20	5.01	
5.72	1.01	
9.21	9.10	
1.89	2.50	
3.49	8.26	
9.73	8.12	
2.26	1.91	
3.04	7.01	
3.02	6.83	
9.61	9.71	
4.38	9.24	
2.55	0.69	
4.86	2.74	
9.96	4.08	
9.36	0.15	
4.75	4.59	
0.19	5.10	
4.49	4.52	
4.92	2.13	
7.20	7.47	
2.43	2.67	
2.54	8.98	
9.52	7.61	
9.72	4.48	
4.94	6.59	
2.62	5.32	
4.59	8.02	
9.84	4.37	
1.58	3.81	
2.58	3.64	
7.50	7.45	
5.75	7.81	
6.60	4.54	
8.71	9.23	
3.13	0.27	
0.19	1.67	
2.91	9.30	
8.42	2.72	
4.33	9.64	
1.31	7.07	
0.52	3.70	
3.83	5.94	
4.24	6.30	
8.85	1.03	
9.05	1.75	
5.86	5.01	
5.76	9.56	
6.74	4.31	
1.08	0.70	
1.22	4.21	
5.98	5.01	
5.59	0.52	
5.30	3.17	
6.81	7.21	
5.98	5.63	
0.93	4.04	
1.15	4.77	
8.99	4.16	
8.82	5.96	
5.85	6.70	
9.05	7.72	
7.29	6.15	
1.14	1.11	
8.82	5.89	
2.74	3.85	
4.79	0.68	
6.11	5.03	
0.38	9.03	
2.97	2.40	
9.97	4.52	
8.13	5.01	
4.47	1.97	
3.97	1.02	
7.28	2.74	
2.21	1.75	
3.05	1.45	
7.00	0.48	
5.98	5.09	
3.24	7.00	
4.83	3.97	
7.34	6.28	
9.69	3.71	
3.09	3.15	
1.78	6.27	
4.13	2.89	
1.23	8.31	
5.93	1.57	
9.16	4.96	
4.29	8.70	
0.09	7.63	
4.46	9.36	
7.74	5.16	
4.98	2.38	
2.12	8.54	
2.64	6.15	
9.12	0.97	
0.98	3.87	
3.78	6.48	
2.49	5.63	
7.58	2.49	
6.14	5.55	
5.65	3.62	
5.62	8.44	
4.53	7.24	
0.51	1.82	
2.40	3.42	
2.02	6.11	
3.94	5.80	
7.32	7.79	
8.96	3.00	
1.78	7.77	
9.80	4.26	
6.25	0.14	
5.12	7.00	
7.33	4.12	
9.06	8.60	
2.29	5.96	
3.28	9.30	
6.66	5.60	
5.99	8.43	
1.60	7.55	
6.60	1.34	
0.46	4.08	
6.55	0.25	
8.61	4.04	
7.26	8.36	
8.32	0.11	
3.58	2.58	
0.94	2.82	
7.01	7.31	
2.06	0.03	
6.40	8.24	
1.14	6.57	
4.82	2.79	
6.37	9.90	
0.84	1.12	
6.97	3.99	
8.83	9.69	
9.76	5.72	
8.02	7.56	
4.31	4.91	
2.26	3.98	
1.00	1.74	
2.97	4.94	
9.22	2.96	
5.64	5.26	
9.10	1.37	
6.58	2.35	
8.29	1.43	
9.91	7.54	
7.02	7.54	
6.77	1.07	
8.95	0.50	
7.81	6.90	
2.02	1.98	
7.44	4.77	
3.77	6.51	
3.13	7.33	
8.01	5.28	
6.10	2.02	
5.30	6.47	
0.12	8.68	
7.81	2.22	
3.76	6.12	
0.71	3.37	
7.76	2.82	
5.45	9.14	
2.92	9.87	
7.69	0.55	
6.21	6.92	
1.71	2.99	
2.27	5.16	
5.77	5.79	
4.95	5.08	
7.90	3.69	
9.01	0.11	
9.62	8.19	
5.10	2.17	
5.97	4.53	
2.22	8.65	
3.55	3.67	
0.43	6.09	
5.22	7.19	
3.39	0.14	
8.62	7.01	
4.45	7.26	
8.44	1.14	
2.45	9.11	
6.64	1.43	
3.17	6.68	
2.87	9.01	
0.36	7.55	
7.58	8.49	
5.86	6.26	
3.79	2.55	
1.71	4.88	
9.44	4.29	
8.49	7.83	
1.18	6.09	
3.26	3.12	
2.35	0.01	
7.05	9.45	
2.16	6.77	
7.03	7.30	
0.77	7.35	
0.55	0.51	
4.72	3.61	
8.79	3.57	
0.62	2.30	
5.89	9.22	
0.42	9.71	
5.38	0.21	
0.28	2.58	
9.27	8.95	
6.64	4.64	
7.12	8.93	
7.12	7.19	
1.47	2.02	
0.95	6.25	
3.37	6.59	
3.66	8.61	
6.66	2.44	
3.16	3.99	
2.60	9.79	
0.01	0.73	
6.97	1.21	
2.92	8.01	
0.20	7.50	
1.58	8.42	
7.56	0.57	
2.97	1.08	
0.12	9.15	
3.73	6.63	
9.47	5.96	
1.21	2.65	
8.75	8.23	
7.51	9.86	
9.81	6.96	
6.73	7.00	
2.13	4.08	
2.96	5.11	
1.75	1.05	
7.74	9.87	
9.81	6.64	
9.24	3.99	
8.82	6.44	
1.68	0.57	
1.43	2.04	
2.99	2.07	
0.90	2.73	
0.46	8.87	
4.53	8.74	
9.25	6.32	
1.54	0.77	
6.12	8.62	
4.46	6.99	
1.32	3.58	
8.89	5.46	
4.76	2.56	
9.96	6.55	
8.85	5.89	
4.89	7.75	
9.11	5.23	
0.36	0.19	
5.60	0.79	
0.07	4.71	
2.56	3.26	
2.82	3.11	
1.11	7.19	
3.55	8.89	
0.07	5.21	
0.69	0.70	
2.78	0.13	
0.57	0.73	
3.76	5.06	
6.39	9.76	
7.54	9.92	
2.22	0.49	
3.50	6.60	
4.78	0.69	
4.64	3.91	
4.60	8.22	
5.44	7.77	
5.60	0.65	
3.67	1.63	
7.21	3.26	
3.72	7.28	
5.76	0.38	
4.53	6.23	
2.66	7.04	
3.39	7.46	
5.24	9.45	
8.25	8.20	
2.56	5.33	
4.63	0.70	
2.25	7.78	
0.46	9.24	
6.72	8.92	
1.36	8.59	
6.39	3.28	
1.42	7.17	
5.46	3.85	
9.51	5.73	
0.70	8.13	
9.44	4.84	
7.23	5.09	
2.71	2.80	
5.96	8.93	
6.53	8.92	
6.19	9.95	
5.92	5.54	
3.45	8.04	
8.13	6.56	
7.13	9.89	
9.68	9.24	
4.42	6.26	
0.83	0.69	
7.35	2.25	
0.52	0.65	
7.38	9.42	
4.77	7.01	
7.70	5.41	
5.16	1.53	
6.69	3.79	
9.88	8.51	
7.63	3.87	
9.06	1.07	
8.28	8.04	
7.39	5.48	
1.35	2.03	
2.04	6.29	
1.21	1.58	
0.86	1.87	
4.91	7.80	
6.33	2.52	
5.84	1.96	
3.33	0.99	
6.38	0.02	
5.04	8.33	
2.16	6.33	
9.53	6.35	
3.84	5.87	
1.15	1.76	
4.34	4.51	
5.03	5.72	
8.53	7.06	
0.15	7.39	
9.81	3.67	
6.09	9.08	
2.72	6.15	
1.44	6.03	
4.00	7.17	
7.14	3.72	
4.60	6.73	
6.53	1.52	
4.11	2.68	
4.76	1.98	
4.95	3.79	
4.28	1.58	
7.97	7.01	
9.87	10.00	
2.81	3.03	
6.03	2.00	
6.38	7.71	
2.20	7.93	
9.78	0.41	
6.07	6.30	
10.00	4.03	
3.66	4.97	
5.27	5.81	
5.18	4.96	
4.18	2.30	
9.68	4.75	
7.48	6.90	
7.67	1.49	
7.78	3.08	
0.16	9.28	
7.15	2.24	
4.76	4.47	
4.38	0.44	
4.08	2.10	
4.01	4.72	
9.60	7.66	
6.93	5.58	
4.44	3.89	
7.97	9.22	
1.89	2.40	
9.31	0.02	
2.60	6.08	
0.00	0.73	
2.30	9.49	
0.68	5.94	
3.55	0.65	
9.66	1.78	
9.69	9.68	
1.20	3.46	
6.37	6.87	
9.23	0.38	
6.39	4.88	
0.14	7.74	
6.32	8.07	
6.57	2.41	
9.42	4.38	
9.64	0.62	
7.76	4.09	
1.42	4.49	
8.00	3.10	
0.37	4.60	
9.48	7.61	
2.44	6.46	
0.22	1.20	
7.33	8.96	
6.51	5.05	
4.59	4.43	
4.15	7.00	
6.97	0.80	
5.07	5.14	
9.25	8.44	
1.36	7.65	
8.91	5.84	
9.67	0.87	
1.65	0.84	
3.10	4.39	
8.42	6.60	
4.12	2.92	
2.95	4.32	
2.03	1.87	
8.00	8.09	
0.31	5.41	
6.56	0.76	
4.84	3.49	
9.07	3.32	
1.63	6.82	
1.16	4.80	
3.66	6.98	
7.36	3.89	
9.96	2.11	
4.82	8.30	
6.52	7.46	
7.76	3.12	
7.83	3.92	
7.79	4.59	
9.82	7.03	
7.30	1.70	
9.98	3.63	
3.39	3.73	
8.02	3.08	
7.16	8.52	
0.76	5.49	
9.48	2.60	
8.60	9.61	
7.14	1.57	
6.59	9.35	
5.02	6.09	
2.43	8.49	
8.71	6.64	
5.07	0.30	
9.08	8.18	
2.57	0.04	
4.90	3.63	
4.74	5.76	
2.03	4.24	
6.72	5.02	
8.28	3.20	
2.22	3.27	
0.98	8.29	
1.28	2.12	
0.19	8.75	
5.76	4.64	
4.46	1.46	
7.31	8.21	
7.49	1.17	
6.83	4.50	
3.31	0.65	
1.26	0.52	
5.14	6.54	
3.81	4.16	
7.66	8.38	
5.80	2.80	
5.62	9.22	
4.45	3.62	
2.16	7.90	
8.63	9.79	
8.65	5.43	
6.12	7.76	
4.25	9.58	
9.63	6.94	
7.29	4.85	
5.55	4.50	
2.62	7.69	
9.15	4.90	
8.69	0.15	
2.01	5.94	
5.60	8.49	
2.85	0.44	
0.73	7.30	
0.78	5.36	
1.79	3.78	
0.90	8.49	
7.79	1.28	
5.68	5.90	
7.57	5.88	
1.92	2.10	
1.76	5.13	
2.59	9.12	
8.69	3.11	
4.47	9.61	
6.73	2.09	
7.82	3.95	
5.81	6.79	
1.52	1.23	
8.37	3.55	
8.07	9.26	
6.04	3.82	
5.65	9.12	
1.36	7.67	
1.01	5.88	
5.37	0.89	
5.43	8.18	
1.04	6.47	
8.12	5.87	
9.05	9.29	
5.72	6.70	
7.58	1.14	
3.89	0.13	
9.81	1.45	
7.41	9.01	
3.70	8.31	
7.92	7.16	
6.03	3.15	
4.24	4.41	
9.51	2.24	
9.13	8.82	
4.64	7.61	
7.21	9.29	
0.30	0.47	
3.60	1.26	
5.95	0.21	
9.39	1.95	
5.83	3.03	
0.16	1.58	
0.21	5.26	
6.46	1.93	
2.13	7.61	
0.34	3.45	
7.95	8.43	
0.83	8.37	
9.21	5.90	
1.77	7.36	
9.06	1.34	
9.76	4.17	
0.73	8.56	
6.64	3.63	
7.66	6.86	
0.18	5.54	
4.03	8.76	
9.38	8.92	
2.59	6.65	
5.75	8.68	
1.55	7.05	
9.95	9.24	
5.61	4.52	
3.89	8.13	
7.13	2.43	
2.20	5.34	
2.24	2.08	
3.15	3.68	
3.13	7.13	
8.52	8.47	
2.33	5.29	
3.80	5.18	
6.83	5.35	
5.15	7.26	
0.02	3.37	
6.96	7.27	
7.13	8.26	
4.63	8.87	
5.57	3.74	
0.15	8.36	
5.04	0.44	
4.52	0.02	
3.46	9.33	
9.60	0.80	
3.86	5.24	
4.03	6.24	
4.30	7.02	
2.16	1.72	
7.60	9.18	
2.52	9.67	
0.02	8.53	
2.17	6.31	
8.58	7.77	
6.72	8.98	
4.70	7.58	
1.15	8.13	
7.72	7.98	
5.49	6.75	
5.84	9.48	
0.65	3.18	
3.42	4.77	
3.97	2.67	
3.01	2.06	
1.16	7.30	
7.62	1.73	
1.03	3.08	
3.98	9.26	
2.26	8.74	
9.94	8.46	
6.71	0.12	
0.30	0.96	
2.18	0.33	
3.35	9.57	
8.80	6.19	
7.05	5.65	
6.75	8.11	
7.45	3.07	
0.07	1.65	
4.23	4.41	
0.87	5.99	
7.72	7.92	
0.24	6.78	
9.19	7.75	
7.78	8.09	
1.84	3.44	
9.40	0.82	
2.62	8.91	
3.83	3.49	
6.43	5.70	
1.92	3.97	
2.58	0.03	
9.36	0.07	
0.25	8.15	
2.39	0.47	
4.00	9.97	
8.37	6.92	
2.39	6.83	
7.83	3.35	
3.24	4.92	
2.29	7.25	
6.27	2.53	
2.61	4.12	
0.03	5.84	
5.92	6.24	
3.15	4.91	
5.36	2.96	
1.38	8.78	
5.64	0.70	
0.86	6.32	
9.28	7.69	
4.90	7.08	
2.89	9.92	
6.50	5.10	
0.12	2.08	
1.02	6.48	
8.28	9.74	
3.90	1.09	
8.33	6.66	
6.55	7.25	
4.07	4.14	
9.31	8.32	
4.52	7.88	
4.13	9.33	
5.48	1.31	
1.48	2.37	
9.80	3.46	
4.92	9.46	
3.63	3.63	
4.40	2.59	
5.16	4.93	
4.16	1.55	
5.48	3.46	
3.78	1.51	
6.43	0.30	
1.97	3.98	
8.61	9.09	
0.73	6.67	
3.98	2.56	
3.93	0.24	
1.18	7.94	
8.62	2.26	
8.66	2.32	
8.79	1.73	
9.97	6.18	
1.59	0.80	
8.24	5.03	
3.02	3.76	
1.79	6.92	
5.70	7.10	
0.81	6.11	
4.43	8.89	
6.15	1.20	
6.12	9.86	
4.28	9.62	
9.50	3.61	
9.56	8.80	
6.51	8.25	
3.64	8.55	
1.81	7.33	
4.22	8.28	
8.86	3.56	
0.01	7.53	
1.13	4.84	
6.58	8.07	
4.89	8.48	
8.12	1.02	
5.47	6.14	
3.52	3.20	
2.52	9.00	
1.28	2.65	
0.92	9.86	
6.55	4.35	
3.22	6.57	
5.54	3.97	
6.22	9.06	
6.87	8.87	
8.94	0.38	
6.98	3.14	
2.15	0.76	
6.64	5.49	
9.35	2.53	
8.91	6.83	
7.70	2.90	
4.30	7.30	
3.15	0.94	
7.93	0.93	
7.81	5.12	
4.35	9.76	
9.13	7.59	
0.59	8.27	
9.97	2.01	
4.34	3.27	
5.67	2.20	
4.60	4.01	
9.37	0.28	
4.48	2.18	
9.61	3.81	
1.32	1.82	
4.81	3.57	
7.80	4.57	
7.87	5.31	
8.57	6.61	
0.09	1.09	
1.02	9.92	
7.95	8.52	
5.39	1.84	
8.14	9.06	
9.18	3.81	
5.63	9.73	
2.82	2.22	
7.62	6.12	
9.22	1.82	
0.97	8.44	
7.27	4.82	
4.19	6.52	
0.52	6.87	
6.03	4.08	
5.77	4.43	
1.14	7.38	
2.59	6.99	
0.30	8.52	
4.36	1.08	
6.72	8.88	
2.88	2.93	
2.30	4.21	
4.14	0.70	
7.78	8.50	
9.99	7.53	
8.33	0.54	
1.15	1.77	
2.02	3.29	
0.24	1.16	
1.89	3.55	
9.60	3.88	
3.56	6.37	
7.73	0.36	
9.68	6.40	
9.64	6.23	
8.97	6.36	
1.07	8.88	
2.70	0.67	
4.17	6.70	
3.69	1.28	
1.76	3.12	
3.43	1.15	
0.98	4.77	
0.86	0.39	
2.38	6.46	
2.52	8.98	
9.46	3.95	
7.34	0.54	
4.82	9.21	
1.00	0.78	
3.53	1.69	
4.26	5.62	
1.29	3.77	
6.56	3.80	
4.68	7.71	
1.69	0.54	
3.71	6.87	
4.65	9.65	
2.08	3.73	
9.71	3.43	
9.13	3.19	
8.21	1.55	
8.41	0.27	
0.60	2.36	
1.57	7.47	
1.67	2.76	
3.44	8.84	
9.40	5.49	
3.19	4.30	
7.94	6.18	
9.18	9.96	
2.50	5.74	
0.14	7.76	
9.26	7.64	
3.29	0.34	
6.65	3.93	
0.84	5.08	
5.36	7.91	
9.89	4.85	
2.82	6.63	
7.17	1.37	
5.02	1.06	
9.32	1.37	
2.47	7.47	
1.34	4.82	
9.42	9.08	
0.93	9.28	
5.74	3.22	
3.79	4.26	
8.19	5.40	
5.64	4.72	
3.87	8.51	
0.07	3.52	
1.86	2.29	
7.14	8.25	
0.49	5.33	
6.91	9.42	
6.43	9.74	
3.56	3.08	
9.18	6.23	
0.41	2.99	
8.72	5.77	
3.55	4.63	
6.87	2.42	
1.74	5.56	
3.37	0.77	
3.52	4.47	
5.29	0.63	
8.06	4.47	
5.05	0.95	
4.92	4.30	
5.39	4.97	
9.25	4.96	
1.77	8.31	
3.45	8.24	
1.71	2.58	
2.97	7.92	
7.84	7.29	
4.04	4.02	
6.65	4.40	
3.76	5.37	
7.40	0.61	
8.35	6.22	
6.66	4.81	
3.75	7.86	
2.04	9.29	
3.85	7.28	
5.26	6.43	
5.49	1.10	
8.49	4.42	
6.12	4.38	
0.00	8.92	
9.68	0.82	
4.77	0.76	
8.34	2.92	
3.11	2.97	
3.20	8.12	
5.93	4.67	
4.79	9.73	
8.11	3.35	
5.23	9.44	
2.69	1.34	
7.23	1.63	
7.05	7.37	
1.86	8.31	
9.10	9.02	
5.94	7.63	
5.65	7.29	
2.08	8.10	
7.56	0.16	
9.42	5.28	
6.02	8.30	
0.35	7.79	
2.36	2.02	
9.42	4.44	
9.27	5.61	
3.77	5.19	
4.94	1.84	
0.31	4.13	
2.59	7.00	
4.17	4.38	
7.22	4.06	
4.46	0.53	
8.21	9.76	
7.81	7.00	
1.04	9.62	
7.79	6.90	
3.85	3.04	
8.29	9.11	
5.15	9.99	
1.91	8.58	
6.84	9.65	
0.33	8.17	
2.77	0.77	
2.13	8.63	
6.83	3.52	
4.89	6.93	
6.10	2.58	
2.88	2.36	
4.07	1.48	
8.35	3.78	
5.93	9.21	
4.58	1.44	
3.21	0.86	
1.29	1.37	
7.60	5.56	
8.67	0.70	
4.70	6.56	
4.50	7.98	
6.56	0.37	
9.81	3.19	
8.55	3.91	
2.79	8.46	
9.64	1.47	
6.92	1.95	
7.72	6.12	
9.30	4.30	
0.49	3.25	
7.11	8.84	
0.84	7.64	
5.66	4.63	
0.11	9.26	
9.11	3.74	
6.45	7.10	
6.02	2.54	
6.01	4.72	
5.37	9.84	
3.56	6.29	
5.07	3.80	
5.94	6.56	
4.31	3.04	
5.67	3.86	
3.06	7.19	
4.70	1.07	
6.91	6.25	
8.06	4.99	
3.14	8.50	
4.94	1.66	
4.25	1.66	
0.57	0.97	
8.81	2.56	
5.51	1.74	
5.02	6.75	
0.44	4.83	
1.96	0.17	
3.27	0.31	
4.67	2.05	
2.73	1.87	
4.15	9.45	
6.88	0.32	
0.33	1.51	
7.76	6.43	
6.72	3.44	
3.54	2.18	
7.94	8.45	
7.93	8.56	
7.40	8.40	
2.11	7.75	
0.97	2.90	
8.73	7.02	
3.83	9.67	
8.66	2.02	
1.99	8.43	
0.89	7.28	
6.88	4.62	
2.87	2.76	
1.52	9.08	
3.79	5.93	
9.08	4.45	
6.27	0.60	
0.52	9.72	
1.95	5.13	
5.97	9.43	
5.84	4.53	
5.74	5.35	
9.63	3.59	
0.85	4.30	
8.88	0.40	
9.51	7.48	
0.63	2.68	
5.67	3.39	
7.62	2.56	
8.07	8.49	
3.03	9.04	
3.39	7.38	
4.68	0.93	
5.01	6.81	
1.13	7.56	
9.82	5.95	
2.66	8.82	
8.98	8.84	
9.26	0.84	
5.07	3.43	
3.99	8.85	
7.21	5.69	
4.75	4.06	
7.72	6.75	
9.45	7.06	
9.02	5.30	
9.76	6.51	
6.74	7.66	
6.35	7.82	
5.81	3.28	
4.17	3.60	
9.38	3.54	
9.84	4.40	
6.75	8.09	
4.32	5.47	
5.06	3.87	
3.35	3.02	
1.68	8.52	
4.73	1.32	
8.30	1.62	
6.57	0.10	
5.40	4.51	
2.65	0.38	
5.96	1.59	
2.06	5.49	
9.84	4.09	
7.55	3.55	
6.71	9.99	
3.87	6.61	
3.35	2.40	
0.35	1.99	
3.02	2.34	
4.15	1.07	
8.62	0.76	
9.58	1.26	
8.48	8.98	
6.32	7.78	
3.35	6.55	
4.27	2.54	
6.01	0.06	
5.66	9.17	
0.27	7.06	
5.62	4.55	
4.46	4.62	
0.85	9.38	
5.61	2.92	
2.39	2.51	
4.38	0.50	
2.45	6.24	
7.70	9.33	
7.14	3.02	
5.40	4.50	
6.82	6.77	
9.61	5.71	
2.98	5.93	
0.86	4.86	
6.30	8.96	
2.66	7.04	
3.17	7.24	
7.41	0.26	
9.40	4.81	
9.72	2.32	
8.26	9.14	
9.99	2.43	
6.69	2.12	
0.05	8.61	
7.94	6.07	
4.96	1.70	
1.04	5.08	
9.62	1.09	
7.44	8.04	
6.84	7.39	
3.21	6.30	
3.67	2.41	
0.56	5.05	
6.41	7.51	
6.07	5.17	
0.50	6.98	
4.20	8.82	
0.64	4.67	
3.70	0.22	
8.15	8.27	
1.54	0.71	
7.10	7.55	
3.55	5.38	
8.05	0.02	
3.56	7.10	
8.51	9.95	
2.97	2.85	
2.23	4.21	
1.26	5.90	
4.94	1.75	
3.22	7.47	
3.23	1.69	
3.15	0.68	
4.25	8.73	
7.26	0.20	
8.29	3.59	
5.35	1.04	
3.56	0.64	
9.62	0.77	
1.87	4.06	
3.95	0.62	
7.06	9.50	
9.31	1.93	
3.21	7.65	
1.96	6.42	
8.03	2.44	
9.41	0.47	
7.97	6.87	
5.40	5.90	
5.47	6.06	
